Estado,retrete,escusado/excusado,inodoro,WC,Total por estado,retrete_FR,escusado/excusado_FR,inodoro_FR,WC_FR,total
Aguascalientes,2,7,3,6,18,11.11111111,38.88888889,16.66666667,33.33333333,100
Baja California,8,23,3,26,60,13.33333333,38.33333333,5,43.33333333,100
Baja California Sur,2,1,7,5,15,13.33333333,6.666666667,46.66666667,33.33333333,100
Campeche,2,1,5,5,13,15.38461538,7.692307692,38.46153846,38.46153846,100
Chiapas,6,4,5,9,24,25,16.66666667,20.83333333,37.5,100
Chihuahua,11,10,15,6,42,26.19047619,23.80952381,35.71428571,14.28571429,100
Ciudad de México,128,212,85,148,573,22.33856894,36.9982548,14.83420593,25.82897033,100
Coahuila,15,17,5,6,43,34.88372093,39.53488372,11.62790698,13.95348837,100
Colima,0,3,1,2,6,0,50,16.66666667,33.33333333,100
Durango,5,5,7,3,20,25,25,35,15,100
México,39,43,33,52,167,23.35329341,25.74850299,19.76047904,31.13772455,100
Guanajuato,6,18,18,12,54,11.11111111,33.33333333,33.33333333,22.22222222,100
Guerrero,4,4,7,5,20,20,20,35,25,100
Hidalgo,7,7,3,5,22,31.81818182,31.81818182,13.63636364,22.72727273,100
Jalisco,34,69,33,39,175,19.42857143,39.42857143,18.85714286,22.28571429,100
Michoacán,3,4,5,9,21,14.28571429,19.04761905,23.80952381,42.85714286,100
Morelos,9,16,12,14,51,17.64705882,31.37254902,23.52941176,27.45098039,100
Nayarit,1,6,5,2,14,7.142857143,42.85714286,35.71428571,14.28571429,100
Nuevo León,33,41,56,29,159,20.75471698,25.78616352,35.22012579,18.23899371,100
Oaxaca,4,10,4,2,20,20,50,20,10,100
Puebla,12,22,18,22,74,16.21621622,29.72972973,24.32432432,29.72972973,100
Querétaro,13,37,14,16,80,16.25,46.25,17.5,20,100
Quintana Roo,13,12,17,26,68,19.11764706,17.64705882,25,38.23529412,100
San Luis Potosí,3,8,8,4,23,13.04347826,34.7826087,34.7826087,17.39130435,100
Sinaloa,8,18,7,14,47,17.0212766,38.29787234,14.89361702,29.78723404,100
Sonora,5,24,7,13,49,10.20408163,48.97959184,14.28571429,26.53061224,100
Tabasco,1,9,7,6,23,4.347826087,39.13043478,30.43478261,26.08695652,100
Tamaulipas,7,8,6,5,26,26.92307692,30.76923077,23.07692308,19.23076923,100
Tlaxcala,4,0,1,1,6,66.66666667,0,16.66666667,16.66666667,100
Veracruz,27,20,22,21,90,30,22.22222222,24.44444444,23.33333333,100
Yucatán,6,16,38,5,65,9.230769231,24.61538462,58.46153846,7.692307692,100
Zacatecas,6,0,3,4,13,46.15384615,0,23.07692308,30.76923077,100
Total,424,675,460,522,2081,20.3748198,32.43632869,22.10475733,25.08409419,100
