Estado,itacate,lunch,lonche,bastimento
Aguascalientes,0,0,6,0
Baja California,0,10,28,0
Baja California Sur,1,3,7,0
Campeche,0,1,5,0
Chiapas,0,0,6,0
Chihuahua,0,7,55,0
Ciudad de México,4,31,51,0
Coahuila de Zaragoza,0,3,133,0
Colima,0,0,3,0
Durango,0,0,22,0
México,2,7,35,0
Guanajuato,0,5,9,0
Guerrero,0,1,4,0
Hidalgo,0,4,0,0
Jalisco,0,6,325,1
Michoacán de Ocampo,0,2,4,0
Morelos,13,2,3,0
Nayarit,0,0,8,0
Nuevo León,0,5,167,0
Oaxaca,0,9,2,0
Puebla,0,7,7,0
Querétaro,0,4,19,0
Quintana Roo,1,9,5,0
San Luis Potosí,0,1,13,0
Sinaloa,0,1,15,0
Sonora,0,3,13,0
Tabasco,2,1,5,0
Tamaulipas,0,1,33,0
Tlaxcala,0,0,2,0
Veracruz de Ignacio de la Llave,2,3,12,0
Yucatán,0,5,8,0
Zacatecas,0,1,12,0
Total,25,132,1017,1
