Estado,colibrí,chupamirto,chuparrosa,chupaflor
Aguascalientes,27,2,0,0
Baja California,82,0,0,1
Baja California Sur,18,0,1,0
Campeche,5,0,0,0
Chiapas,50,0,0,0
Chihuahua,31,0,0,0
Ciudad de México,485,7,1,0
Coahuila de Zaragoza,34,0,0,0
Colima,16,0,0,0
Durango,37,0,0,0
México,275,5,1,0
Guanajuato,74,2,4,0
Guerrero,47,2,0,0
Hidalgo,22,1,0,0
Jalisco,203,0,0,0
Michoacán de Ocampo,36,1,1,0
Morelos,46,2,0,0
Nayarit,1,0,1,0
Nuevo León,162,1,0,0
Oaxaca,70,0,0,0
Puebla,109,2,0,0
Querétaro,70,1,0,0
Quintana Roo,34,0,0,0
San Luis Potosí,45,0,1,0
Sinaloa,50,0,10,0
Sonora,112,0,2,0
Tabasco,28,0,0,0
Tamaulipas,27,3,3,0
Tlaxcala,12,0,0,0
Veracruz de Ignacio de la Llave,83,0,1,0
Yucatán,57,0,1,0
Zacatecas,52,0,0,0
Total,2400,29,27,1
