Estado,mosquito,zancudo,chaquiste,chanquiste,moyote
Aguascalientes,25,17,0,0,0
Baja California,54,6,0,0,0
Baja California Sur,23,10,0,0,0
Campeche,16,0,1,0,0
Chiapas,36,23,0,0,0
Chihuahua,25,5,0,0,30
Ciudad de México,271,37,1,0,7
Coahuila de Zaragoza,44,27,0,0,11
Colima,12,9,0,0,0
Durango,17,3,0,0,13
México,138,16,2,0,2
Guanajuato,75,35,0,0,6
Guerrero,39,9,0,0,0
Hidalgo,36,2,0,0,0
Jalisco,248,116,1,0,3
Michoacán de Ocampo,59,8,0,0,0
Morelos,37,4,0,0,1
Nayarit,21,11,0,0,1
Nuevo León,86,109,1,0,1
Oaxaca,33,13,1,0,0
Puebla,60,6,0,0,0
Querétaro,56,12,0,0,3
Quintana Roo,269,13,0,0,0
San Luis Potosí,36,30,0,0,0
Sinaloa,53,12,0,0,1
Sonora,64,48,0,0,0
Tabasco,85,0,1,0,0
Tamaulipas,26,21,0,0,0
Tlaxcala,5,1,0,0,0
Veracruz de Ignacio de la Llave,102,13,5,0,0
Yucatán,114,4,1,0,2
Zacatecas,22,8,0,0,0
Total,2187,628,14,0,81
