Estado,retrete,excusado,sanitario,inodoro,escusado,WC
Aguascalientes,2,4,74,3,3,6
Baja California,8,9,140,3,14,26
Baja California Sur,2,1,76,7,0,5
Campeche,2,0,40,5,1,5
Chiapas,6,1,170,5,3,9
Chihuahua,11,7,96,15,3,6
Ciudad de México,128,122,1616,85,90,148
Coahuila de Zaragoza,15,3,404,5,14,6
Colima,0,2,26,1,1,2
Durango,5,1,130,7,4,3
México,39,23,696,33,20,52
Guanajuato,6,9,258,18,9,12
Guerrero,4,2,154,7,2,5
Hidalgo,7,6,344,3,1,5
Jalisco,34,30,638,33,39,39
Michoacán de Ocampo,3,1,104,5,3,9
Morelos,9,3,174,12,13,14
Nayarit,1,1,38,5,5,2
Nuevo León,33,26,382,56,15,29
Oaxaca,4,7,278,4,3,2
Puebla,12,11,480,18,11,22
Querétaro,13,24,318,14,13,16
Quintana Roo,13,8,270,17,4,26
San Luis Potosí,3,4,134,8,4,4
Sinaloa,8,8,142,7,10,14
Sonora,5,7,318,7,17,13
Tabasco,1,6,166,7,3,6
Tamaulipas,7,4,372,6,4,5
Tlaxcala,4,0,38,1,0,1
Veracruz de Ignacio de la Llave,27,13,322,22,7,21
Yucatán,6,9,174,38,7,5
Zacatecas,6,0,166,3,0,4
Total,424,352,8738,460,323,522
